id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
1058060,MD,INDIVIDUAL,10,N/A,D,OWN,2021-02-02,2021-05-16,2021-02-15,Fully Paid,2021-03-15,1289636,Car,D1,36,Not Verified,40000.0,0.0957,176.51,0.1629,5000.0,13,6361.0
112245,WI,INDIVIDUAL,6,Norman G. Olson Insurance,A,RENT,2021-07-07,2021-04-16,2021-08-10,Fully Paid,2021-09-10,112227,Car,A2,36,Not Verified,40000.0,0.0255,155.38,0.0743,5000.0,7,5594.0
207910,FL,INDIVIDUAL,0,N/A,A,MORTGAGE,2021-01-08,2021-05-16,2021-02-10,Charged Off,2021-03-10,183496,Car,A2,36,Not Verified,120000.0,0.0767,69.14,0.0743,2225.0,20,2508.0
65426,MI,INDIVIDUAL,0,"Infotrieve, Inc.",B,MORTGAGE,2021-08-09,2021-05-16,2021-06-11,Charged Off,2021-07-11,232106,Car,B1,36,Not Verified,60000.0,0.1108,131.22,0.1114,4000.0,33,2755.0
211723,MD,INDIVIDUAL,4,self employed,C,OWN,2021-01-08,2021-12-09,2021-08-08,Charged Off,2021-09-08,211606,Car,C2,36,Not Verified,72000.0,0.0512,262.26,0.1109,8000.0,8,2135.0
662350,NV,INDIVIDUAL,10,Clark County School District,A,MORTGAGE,2021-01-11,2021-02-13,2021-08-12,Charged Off,2021-09-12,847024,Car,A5,36,Not Verified,70800.0,0.0795,77.95,0.0766,2500.0,39,1479.0
1006769,PA,INDIVIDUAL,6,The Mount Sinai School of Medicine,A,MORTGAGE,2021-11-11,2021-11-13,2021-06-13,Charged Off,2021-07-13,1233120,Car,A3,36,Not Verified,80000.0,0.0648,124.45,0.0751,4000.0,11,2479.0
405898,GA,INDIVIDUAL,0,Blue Ridge Design Group,A,MORTGAGE,2021-06-09,2021-05-16,2021-12-09,Charged Off,2022-01-09,454145,Car,A5,36,Not Verified,36000.0,0.15,385.14,0.0963,12000.0,24,2306.0
445846,MI,INDIVIDUAL,10,Abbott Nutrition,A,MORTGAGE,2021-10-09,2021-05-16,2021-02-12,Charged Off,2021-03-12,544784,Car,A5,36,Not Verified,45000.0,0.152,222.41,0.0894,7000.0,24,6446.0
659221,MI,INDIVIDUAL,3,rice &werthmann,A,MORTGAGE,2021-01-11,2021-05-16,2021-10-13,Charged Off,2021-11-13,843127,Car,A5,36,Not Verified,86400.0,0.0385,280.62,0.0766,9000.0,10,8945.0
782425,UT,INDIVIDUAL,6,Five County Assoc of Governments,A,MORTGAGE,2021-06-11,2021-05-16,2021-07-12,Charged Off,2021-08-12,985412,Car,A5,36,Not Verified,24600.0,0.0785,152.42,0.089,4800.0,21,1978.0
458328,GA,INDIVIDUAL,0,north ga dentention center,B,MORTGAGE,2021-01-10,2021-11-10,2021-07-10,Charged Off,2021-08-10,570309,Car,B2,36,Not Verified,30000.0,0.0992,164.85,0.1148,5000.0,19,884.0
744344,WA,INDIVIDUAL,6,N/A,B,MORTGAGE,2021-05-11,2021-05-16,2021-01-13,Charged Off,2021-02-13,942813,Car,B4,36,Not Verified,48000.0,0.2357,197.83,0.1149,6000.0,27,3950.0
1026463,FL,INDIVIDUAL,6,sky powersports,C,MORTGAGE,2021-11-11,2021-04-14,2021-12-13,Charged Off,2022-01-13,1255647,Car,C3,36,Not Verified,60000.0,0.0366,217.32,0.1465,6300.0,10,5554.0
489679,FL,INDIVIDUAL,2,Synovus Bank,D,MORTGAGE,2021-03-10,2021-12-12,2021-07-12,Charged Off,2021-08-12,624878,Car,D4,36,Not Verified,34000.0,0.1486,210.07,0.157,6000.0,6,5986.0
519658,GA,INDIVIDUAL,0,ACUMEN FISCAL AGENT/MS ROBINSON,A,OWN,2021-05-10,2021-01-12,2021-08-11,Charged Off,2021-09-11,671773,Car,A5,36,Not Verified,18000.0,0.216,148.59,0.0788,4750.0,16,2216.0
470041,CA,INDIVIDUAL,10,inspired automation inc,A,OWN,2021-01-10,2021-03-12,2021-10-11,Charged Off,2021-11-11,593245,Car,A1,36,Not Verified,43800.0,0.0737,148.32,0.0705,4800.0,7,3210.0
393852,NH,INDIVIDUAL,10,self,B,OWN,2021-05-09,2021-06-11,2021-01-11,Charged Off,2021-02-11,432187,Car,B4,36,Not Verified,98736.0,0.0812,50.58,0.1189,9000.0,19,1045.0
725534,TX,INDIVIDUAL,1,Able Electronics,B,OWN,2021-04-11,2021-12-13,2021-07-13,Charged Off,2021-08-13,920793,Car,B4,36,Not Verified,48000.0,0.051,60.34,0.1074,1850.0,45,1655.0
428387,PA,INDIVIDUAL,0,Abraxas I,C,OWN,2021-07-09,2021-05-16,2021-10-09,Charged Off,2021-11-09,506847,Car,C2,36,Not Verified,27852.0,0.1021,141.2,0.1284,4200.0,28,282.0
783561,CA,INDIVIDUAL,6,La curacao,A,RENT,2021-06-11,2021-06-12,2021-02-12,Charged Off,2021-03-12,986688,Car,A4,36,Not Verified,48000.0,0.2585,186.61,0.0749,6000.0,16,1575.0
969474,HI,INDIVIDUAL,7,Outback Steakhouse,A,RENT,2021-10-11,2021-03-14,2021-10-13,Charged Off,2021-11-13,1190684,Car,A5,36,Not Verified,30000.0,0.1872,228.63,0.089,7200.0,25,5845.0
773111,WA,INDIVIDUAL,3,URS corp,A,RENT,2021-06-11,2021-04-14,2021-11-13,Charged Off,2021-12-13,975126,Car,A5,36,Not Verified,22800.0,0.0526,75.76,0.0849,2400.0,3,2278.0
472634,FL,INDIVIDUAL,1,walmart,A,RENT,2021-12-09,2021-04-11,2021-11-10,Charged Off,2021-12-10,596856,Car,A1,36,Not Verified,12720.0,0.0,231.75,0.0705,7500.0,9,2073.0
494891,MA,INDIVIDUAL,5,EdgeStream Inc,B,RENT,2021-03-10,2021-04-16,2021-03-11,Charged Off,2021-04-11,633723,Car,B5,36,Not Verified,31000.0,0.0159,182.66,0.1136,5550.0,5,2083.0
458797,NV,INDIVIDUAL,8,MAD MATT'S Bar & Grille,B,RENT,2021-11-09,2021-11-11,2021-07-11,Charged Off,2021-08-11,571361,Car,B2,36,Not Verified,89650.0,0.0056,725.31,0.1148,22000.0,19,15424.0
743690,OK,INDIVIDUAL,3,Dominos Pizza,B,RENT,2021-05-11,2021-02-15,2021-06-12,Charged Off,2021-07-12,942003,Car,B5,36,Not Verified,45000.0,0.1464,332.1,0.1199,10000.0,18,4553.0
384963,NJ,INDIVIDUAL,10,Pesci Family,B,RENT,2021-03-09,2021-07-11,2021-03-11,Charged Off,2021-04-11,416412,Car,B1,36,Not Verified,39996.0,0.2298,261.71,0.1095,8000.0,43,6197.0
508426,OH,INDIVIDUAL,0,Forum Health,B,RENT,2021-05-10,2021-05-16,2021-12-11,Charged Off,2022-01-11,656002,Car,B4,36,Not Verified,49800.0,0.174,163.68,0.1099,5000.0,13,3110.0
402318,IL,INDIVIDUAL,8,River Trails Park District,B,RENT,2021-05-09,2021-03-12,2021-10-11,Charged Off,2021-11-11,446914,Car,B5,36,Not Verified,15000.0,0.1688,106.61,0.1221,3200.0,19,3140.0
359401,CA,INDIVIDUAL,2,DMS Marketing,C,RENT,2021-10-08,2021-05-16,2021-09-09,Charged Off,2021-10-09,366581,Car,C3,36,Not Verified,48000.0,0.1753,200.47,0.1241,6000.0,14,5104.0
290803,TX,INDIVIDUAL,0,Nesle,C,RENT,2021-03-08,2021-12-10,2021-08-10,Charged Off,2021-09-10,290796,Car,C2,36,Not Verified,37440.0,0.0772,98.7,0.1134,3000.0,14,2798.0
847836,AZ,INDIVIDUAL,7,24 hour fitness,C,RENT,2021-08-11,2021-05-16,2021-05-13,Charged Off,2021-06-13,1059380,Car,C3,36,Not Verified,105000.0,0.135,382.74,0.1399,11200.0,29,8037.0
362098,FL,INDIVIDUAL,2,Starbucks,D,RENT,2021-11-08,2021-01-11,2021-08-10,Charged Off,2021-09-10,371139,Car,D2,36,Not Verified,15000.0,0.14,136.08,0.1367,4000.0,13,2685.0
1044994,CA,INDIVIDUAL,4,URS Corp,D,RENT,2021-12-11,2021-05-16,2021-03-14,Charged Off,2021-04-14,1275383,Car,D2,36,Not Verified,59100.0,0.1287,106.62,0.1677,3000.0,13,2772.0
734343,NY,INDIVIDUAL,4,Berean Group,B,MORTGAGE,2021-04-11,2021-03-14,2021-10-13,Charged Off,2021-11-13,930853,Car,B2,36,Not Verified,126000.0,0.1529,193.61,0.1,6000.0,22,5796.0
126392,WI,INDIVIDUAL,0,Tideway Systems,A,MORTGAGE,2021-09-07,2021-08-07,2021-04-08,Fully Paid,2021-05-08,125914,Car,A4,36,Not Verified,173000.0,0.0072,313.67,0.0807,10000.0,41,10435.0
269289,CT,INDIVIDUAL,0,mdm golf,A,MORTGAGE,2021-03-08,2021-01-11,2021-10-10,Fully Paid,2021-11-10,260821,Car,A5,36,Not Verified,60000.0,0.0894,316.28,0.0863,10000.0,27,11340.0
266282,TX,INDIVIDUAL,5,"NetVida Marketing, Inc.",B,MORTGAGE,2021-02-08,2021-05-10,2021-05-10,Fully Paid,2021-06-10,188654,Car,B2,36,Not Verified,40000.0,0.1872,257.24,0.0976,8000.0,35,9149.0
243406,NJ,INDIVIDUAL,9,CK General Construction,B,MORTGAGE,2021-02-08,2021-09-12,2021-02-11,Fully Paid,2021-03-11,243089,Car,B2,36,Not Verified,200000.0,0.0484,192.93,0.0976,6000.0,22,6945.0
226154,MN,INDIVIDUAL,10,Ramsey County,E,MORTGAGE,2021-01-08,2021-01-11,2021-02-11,Fully Paid,2021-03-11,225530,Car,E1,36,Not Verified,72000.0,0.2257,170.72,0.1393,5000.0,44,6146.0
253727,WA,INDIVIDUAL,2,Central Washington Hospital,A,OWN,2021-02-08,2021-09-10,2021-09-10,Fully Paid,2021-10-10,253715,Car,A5,36,Not Verified,10000.0,0.0,142.33,0.0863,4500.0,6,5096.0
196380,CA,INDIVIDUAL,10,Comerica Bank,A,RENT,2021-01-08,2021-02-10,2021-02-10,Fully Paid,2021-03-10,188466,Car,A4,36,Not Verified,62000.0,0.1407,345.06,0.0807,11000.0,23,12247.0
206181,MA,INDIVIDUAL,0,Lexington Alarm Systems,A,RENT,2021-01-08,2021-04-16,2021-04-10,Fully Paid,2021-05-10,167318,Car,A1,36,Not Verified,28800.0,0.0,108.27,0.0712,3500.0,5,3863.0
219070,CO,INDIVIDUAL,2,Arborist Services,B,RENT,2021-02-08,2021-09-10,2021-09-10,Fully Paid,2021-10-10,219037,Car,B5,36,Not Verified,50000.0,0.0506,194.91,0.1046,6000.0,21,6982.0
219000,WA,INDIVIDUAL,3,Evergreen Treatment Services,B,RENT,2021-01-08,2021-01-11,2021-01-11,Fully Paid,2021-02-11,218997,Car,B1,36,Not Verified,37000.0,0.1674,175.42,0.092,5500.0,36,6320.0
281384,TN,INDIVIDUAL,0,Church of God of Prophecy,C,RENT,2021-03-08,2021-03-11,2021-03-11,Fully Paid,2021-04-11,281309,Car,C3,36,Not Verified,54263.0,0.1238,115.69,0.1166,3500.0,23,4164.0
120525,VA,INDIVIDUAL,1,Starbucks,C,RENT,2021-08-07,2021-06-11,2021-08-10,Fully Paid,2021-09-10,120227,Car,C3,36,Not Verified,18000.0,0.18,130.79,0.1091,4000.0,5,4708.0
253987,VA,INDIVIDUAL,2,Comcast,C,RENT,2021-02-08,2021-05-16,2021-06-10,Fully Paid,2021-07-10,253974,Car,C1,36,Not Verified,41000.0,0.1692,98.26,0.1103,3000.0,16,3498.0
450292,CT,INDIVIDUAL,1,Newcomb Spring,A,MORTGAGE,2021-10-09,2021-02-16,2021-10-12,Fully Paid,2021-11-12,553755,Car,A2,36,Not Verified,85000.0,0.0239,136.66,0.074,4400.0,19,4920.0
401775,GA,INDIVIDUAL,1,Chemlink Laboratories,A,MORTGAGE,2021-05-09,2021-05-12,2021-05-12,Fully Paid,2021-06-12,446077,Car,A2,36,Not Verified,28500.0,0.0223,265.13,0.0768,8500.0,10,9544.0
373881,TX,INDIVIDUAL,1,Jesuit College Preparatory School,A,MORTGAGE,2021-01-09,2021-02-11,2021-02-11,Fully Paid,2021-03-11,394401,Car,A2,36,Not Verified,40308.0,0.0578,155.96,0.0768,5000.0,19,5422.0
973780,TX,INDIVIDUAL,1,Diamond Offshore,A,MORTGAGE,2021-10-11,2021-10-14,2021-10-14,Fully Paid,2021-11-14,1195796,Car,A2,36,Not Verified,149400.0,0.0994,214.93,0.0662,7000.0,43,7737.0
750759,WI,INDIVIDUAL,1,BRP US Inc,A,MORTGAGE,2021-06-11,2021-06-14,2021-06-14,Fully Paid,2021-07-14,950147,Car,A2,36,Not Verified,54000.0,0.1129,60.84,0.0599,2000.0,18,2190.0
745149,OH,INDIVIDUAL,1,Independant Contractor,A,MORTGAGE,2021-05-11,2021-05-16,2021-05-14,Fully Paid,2021-06-14,943695,Car,A3,36,Not Verified,38400.0,0.0319,74.1,0.0699,2400.0,7,2667.0
775926,MO,INDIVIDUAL,1,Northwwind Engineering,A,MORTGAGE,2021-06-11,2021-06-14,2021-06-14,Fully Paid,2021-07-14,978223,Car,A4,36,Not Verified,60000.0,0.0242,149.29,0.0749,4800.0,6,5374.0
651079,RI,INDIVIDUAL,1,Fakouri Electrical,A,MORTGAGE,2021-01-11,2021-01-14,2021-01-14,Fully Paid,2021-02-14,832879,Car,A4,36,Not Verified,58000.0,0.2127,124.04,0.0729,4000.0,24,4466.0
627209,MD,INDIVIDUAL,10,Second Empire Furniture Inc.,A,MORTGAGE,2021-12-10,2021-10-14,2021-12-13,Fully Paid,2022-01-13,803704,Car,A1,36,Not Verified,31000.0,0.0283,241.28,0.0542,8000.0,17,8686.0
781516,MO,INDIVIDUAL,10,state of missouri department of correcti,A,MORTGAGE,2021-06-11,2021-07-11,2021-08-11,Fully Paid,2021-09-11,984370,Car,A1,36,Not Verified,33600.0,0.0161,90.48,0.0542,3000.0,15,3014.0
971771,CA,INDIVIDUAL,10,"Stafford Meat Co., Inc.",A,MORTGAGE,2021-10-11,2021-05-16,2021-10-14,Fully Paid,2021-11-14,1193520,Car,A1,36,Not Verified,64320.0,0.025,243.49,0.0603,8000.0,17,8765.0
796355,RI,INDIVIDUAL,10,Local 51,A,MORTGAGE,2021-06-11,2021-04-16,2021-07-14,Fully Paid,2021-08-14,1001198,Car,A1,36,Not Verified,79200.0,0.0218,150.8,0.0542,5000.0,28,5429.0
868443,DE,INDIVIDUAL,10,Bank of America,A,MORTGAGE,2021-09-11,2021-05-16,2021-04-14,Fully Paid,2021-05-14,1082151,Car,A1,36,Not Verified,63996.0,0.0651,96.52,0.0542,3200.0,26,3468.0
683816,NY,INDIVIDUAL,10,operating engineers local 158,A,MORTGAGE,2021-03-11,2021-09-11,2021-09-11,Fully Paid,2021-10-11,873188,Car,A1,36,Not Verified,72000.0,0.2075,223.19,0.0542,7400.0,23,7556.0
1023029,PA,INDIVIDUAL,10,williams service co,A,MORTGAGE,2021-11-11,2021-11-14,2021-12-14,Fully Paid,2022-01-14,1251828,Car,A1,36,Not Verified,72000.0,0.1782,152.18,0.0603,5000.0,37,5478.0
886517,NM,INDIVIDUAL,10,"C&E Concrete,inc.",A,MORTGAGE,2021-09-11,2021-09-14,2021-10-14,Fully Paid,2021-11-14,1102391,Car,A1,36,Not Verified,41784.0,0.1872,152.18,0.0603,5000.0,22,5478.0
1001581,TX,INDIVIDUAL,10,BASF Corporation,A,MORTGAGE,2021-10-11,2021-05-16,2021-10-13,Fully Paid,2021-11-13,1227382,Car,A1,36,Not Verified,96000.0,0.238,182.62,0.0603,6000.0,27,6493.0
1004019,NY,INDIVIDUAL,10,village of solvay dpw,A,MORTGAGE,2021-10-11,2021-04-16,2021-08-14,Fully Paid,2021-09-14,1230439,Car,A1,36,Not Verified,54000.0,0.2407,182.62,0.0603,6000.0,32,6569.0
675716,NV,INDIVIDUAL,10,Gideon Toal/U.P.R Inc.,A,MORTGAGE,2021-02-11,2021-04-14,2021-03-14,Fully Paid,2021-04-14,863546,Car,A1,36,Not Verified,36000.0,0.2293,271.44,0.0542,9000.0,47,9772.0
887254,MN,INDIVIDUAL,10,City of West St Paul,A,MORTGAGE,2021-10-11,2021-05-16,2021-11-14,Fully Paid,2021-12-14,1103400,Car,A1,36,Not Verified,114000.0,0.1658,219.14,0.0603,7200.0,52,7889.0
865714,TX,INDIVIDUAL,10,Harris County,A,MORTGAGE,2021-09-11,2021-05-16,2021-08-13,Fully Paid,2021-09-13,1078994,Car,A1,36,Not Verified,48000.0,0.1732,170.41,0.0542,5650.0,32,6067.0
770503,LA,INDIVIDUAL,10,LSU MEDICAL CENTER OF LOUISIANA,A,MORTGAGE,2021-06-11,2021-01-12,2021-01-12,Fully Paid,2021-02-12,972180,Car,A2,36,Not Verified,39600.0,0.1406,182.51,0.0599,6000.0,32,6194.0
548151,NJ,INDIVIDUAL,10,ABERDEEN TWSP,A,MORTGAGE,2021-07-10,2021-05-16,2021-08-13,Fully Paid,2021-09-13,706758,Car,A2,36,Not Verified,108000.0,0.1976,107.69,0.0676,3500.0,37,3877.0
542312,FL,INDIVIDUAL,10,Micros Systems Inc.,A,MORTGAGE,2021-07-10,2021-05-16,2021-07-13,Fully Paid,2021-08-13,699868,Car,A2,36,Not Verified,57431.0,0.0618,123.07,0.0676,4000.0,21,4431.0
1008323,AR,INDIVIDUAL,10,Arkansas Department Of Correction,A,MORTGAGE,2021-11-11,2021-12-15,2021-12-14,Fully Paid,2022-01-14,1234988,Car,A3,36,Not Verified,32468.8,0.2935,186.67,0.0751,6000.0,16,6714.0
457893,AR,INDIVIDUAL,10,Kroger,A,MORTGAGE,2021-11-09,2021-11-12,2021-11-12,Fully Paid,2021-12-12,569597,Car,A3,36,Not Verified,26000.0,0.0429,218.54,0.0774,7000.0,11,7867.0
451579,OH,INDIVIDUAL,10,Alliance Data Systems,A,MORTGAGE,2021-10-09,2021-06-14,2021-03-12,Fully Paid,2021-04-12,556476,Car,A3,36,Not Verified,75000.0,0.0234,156.1,0.0774,5000.0,21,5584.0
1027822,KY,INDIVIDUAL,10,City of Madisonville,A,MORTGAGE,2021-11-11,2021-05-16,2021-08-14,Fully Paid,2021-09-14,1257204,Car,A3,36,Not Verified,58000.0,0.2692,56.0,0.0751,1800.0,28,2013.0
700052,NC,INDIVIDUAL,10,RCCG - Victory Temple,A,MORTGAGE,2021-04-11,2021-11-15,2021-04-14,Fully Paid,2021-05-14,891691,Car,A3,36,Not Verified,50000.0,0.203,308.41,0.0692,10000.0,32,11103.0
661459,OH,INDIVIDUAL,10,Atkins and Pearce,A,MORTGAGE,2021-02-11,2021-02-14,2021-02-14,Fully Paid,2021-03-14,845936,Car,A4,36,Not Verified,48000.0,0.1988,201.57,0.0729,6500.0,24,7257.0
768140,CA,INDIVIDUAL,10,Orchard Supply Hardware,A,MORTGAGE,2021-05-11,2021-12-12,2021-12-12,Fully Paid,2022-01-12,969361,Car,A4,36,Not Verified,73000.0,0.1433,155.51,0.0749,5000.0,23,5312.0
823069,CT,INDIVIDUAL,10,Custom Phone Inc,A,MORTGAGE,2021-07-11,2021-11-12,2021-11-12,Fully Paid,2021-12-12,1031607,Car,A4,36,Not Verified,68000.0,0.0286,248.82,0.0749,8000.0,13,8615.0
761499,GA,INDIVIDUAL,10,Greif LLC,A,MORTGAGE,2021-05-11,2021-08-14,2021-06-14,Fully Paid,2021-07-14,961964,Car,A4,36,Not Verified,112992.0,0.1825,248.82,0.0749,8000.0,25,8957.0
390651,VA,INDIVIDUAL,10,Girard Engineering,A,MORTGAGE,2021-04-09,2021-07-15,2021-04-12,Fully Paid,2021-05-12,425903,Car,A4,36,Not Verified,135000.0,0.0518,255.58,0.0932,8000.0,14,9201.0
483645,GA,INDIVIDUAL,10,AT&T,A,MORTGAGE,2021-02-10,2021-02-13,2021-02-13,Fully Paid,2021-03-13,615502,Car,A4,36,Not Verified,75181.0,0.1831,186.66,0.0751,6000.0,30,6720.0
866551,IL,INDIVIDUAL,10,City of Chicago,A,MORTGAGE,2021-09-11,2021-09-14,2021-09-14,Fully Paid,2021-10-14,1079988,Car,A4,36,Not Verified,110400.0,0.1916,93.31,0.0749,3000.0,41,3359.0
394295,CA,INDIVIDUAL,10,Downey welding,A,MORTGAGE,2021-04-09,2021-05-12,2021-05-12,Fully Paid,2021-06-12,432897,Car,A5,36,Not Verified,48000.0,0.1257,481.42,0.0963,15000.0,31,17331.0
472637,TX,INDIVIDUAL,2,Accenture,A,MORTGAGE,2021-12-09,2021-12-11,2021-12-11,Fully Paid,2022-01-11,596861,Car,A1,36,Not Verified,54000.0,0.0267,268.83,0.0705,8700.0,15,9538.0
732697,CO,INDIVIDUAL,2,Corvirtus,A,MORTGAGE,2021-04-11,2021-10-15,2021-05-14,Fully Paid,2021-06-14,928926,Car,A1,36,Not Verified,85000.0,0.04,168.9,0.0542,5600.0,36,6080.0
628369,TX,INDIVIDUAL,2,Cricket Communications,A,MORTGAGE,2021-12-10,2021-12-13,2021-12-13,Fully Paid,2022-01-13,805177,Car,A3,36,Not Verified,36000.0,0.1997,54.9,0.0617,1800.0,21,1977.0
842807,NY,INDIVIDUAL,2,walmart distribution,A,MORTGAGE,2021-08-11,2021-05-16,2021-08-14,Fully Paid,2021-09-14,1053506,Car,A4,36,Not Verified,36000.0,0.1883,217.72,0.0749,7000.0,13,7838.0
564180,CA,INDIVIDUAL,3,California Department of Justice,A,MORTGAGE,2021-08-10,2021-08-13,2021-09-13,Fully Paid,2021-10-13,725950,Car,A1,36,Not Verified,120000.0,0.052,140.76,0.0639,4600.0,42,5068.0
464609,AZ,INDIVIDUAL,3,Mesa Fire Department,A,MORTGAGE,2021-12-09,2021-05-16,2021-03-10,Fully Paid,2021-04-10,582432,Car,A2,36,Not Verified,60000.0,0.1004,62.12,0.074,2000.0,14,2036.0
1050642,OH,INDIVIDUAL,3,Ares Inc.,A,MORTGAGE,2021-12-11,2021-06-14,2021-06-14,Fully Paid,2021-07-14,1281883,Car,A2,36,Not Verified,62352.0,0.1207,116.68,0.0662,3800.0,24,4187.0
710680,PA,INDIVIDUAL,3,Lonza Inc,A,MORTGAGE,2021-03-11,2021-04-14,2021-04-14,Fully Paid,2021-05-14,903454,Car,A2,36,Not Verified,54000.0,0.1129,151.64,0.0579,5000.0,20,5459.0
390765,MD,INDIVIDUAL,3,Rummel  Klepper  and  Kahl,A,MORTGAGE,2021-04-09,2021-03-10,2021-02-10,Fully Paid,2021-03-10,426115,Car,A3,36,Not Verified,60000.0,0.0036,313.37,0.08,10000.0,11,10513.0
1026512,TX,INDIVIDUAL,4,Aramark,A,MORTGAGE,2021-11-11,2021-11-14,2021-12-14,Fully Paid,2022-01-14,1255698,Car,A1,36,Not Verified,66000.0,0.0118,91.31,0.0603,3000.0,23,3287.0
471543,FL,INDIVIDUAL,4,Sarasota Memorial Hospital,A,MORTGAGE,2021-12-09,2021-08-11,2021-08-11,Fully Paid,2021-09-11,595343,Car,A1,36,Not Verified,241875.0,0.064,494.4,0.0705,16000.0,24,17370.0
